Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts,year,half year
149385307043,2025-07-01 17:42:00,2025/07/01,17:42,2025,Tuesday,2025/07/01 05:42:00 PM,1493853,250301206,,VS,Vehicle Supplement,,7043,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Motorcycle",Open or Active,,,Out of SF,,,,,,,2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,,,,,,,,,2025,2
149373007043,2025-07-01 11:02:00,2025/07/01,11:02,2025,Tuesday,2025/07/01 11:02:00 AM,1493730,250193893,,VS,Vehicle Supplement,,7043,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Motorcycle",Open or Active,,,Out of SF,,,,,,,2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,,,,,,,,,2025,2
149406371012,2025-07-02 12:27:00,2025/07/02,12:27,2025,Wednesday,2025/07/02 12:27:00 PM,1494063,250361498,251810116.0,VS,Vehicle Supplement,,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,,,Out of SF,,,,,,,2025/07/03 09:36:48 AM,2025/07/03 09:55:42 AM,,,,,,,,,2025,2
149407307041,2025-07-02 16:15:00,2025/07/02,16:15,2025,Wednesday,2025/07/02 04:15:00 PM,1494073,250351643,,VS,Vehicle Supplement,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,2025/07/03 09:36:48 AM,2025/07/03 09:55:42 AM,,,,,,,,,2025,2
149388404134,2025-07-01 18:12:00,2025/07/01,18:12,2025,Tuesday,2025/07/01 06:18:00 PM,1493884,250364680,251822502.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,LAKESHORE PLZ \ SLOAT BLVD,33724000.0,Taraval,Sunset/Parkside,4.0,7.0,37.73405075073242,-122.49044036865234,POINT (-122.490440369 37.734050751),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,40.0,,,,,,8.0,10.0,2025,2
149362468030,2025-07-01 01:30:00,2025/07/01,01:30,2025,Tuesday,2025/07/01 04:21:00 AM,1493624,250363240,251820220.0,II,Initial,,68030,Courtesy Report,Courtesy Report,Courtesy Report,Open or Active,37TH AVE \ ORTEGA ST,27695000.0,Taraval,Sunset/Parkside,4.0,4.0,37.75152587890625,-122.4956283569336,POINT (-122.495628357 37.751525879),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,39.0,,,,,,7.0,10.0,2025,2
149370963010,2025-07-01 09:15:00,2025/07/01,09:15,2025,Tuesday,2025/07/01 09:15:00 AM,1493709,240664763,,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,LEAVENWORTH ST \ UNITED NATIONS PLZ,30044000.0,Tenderloin,Tenderloin,5.0,6.0,37.779991149902344,-122.41349029541016,POINT (-122.413490295 37.77999115),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,21.0,,1.0,1.0,1.0,,10.0,5.0,2025,2
149382762050,2025-07-01 13:56:00,2025/07/01,13:56,2025,Tuesday,2025/07/01 01:56:00 PM,1493827,250364163,251821158.0,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,09TH ST \ MINNA ST,24312000.0,Southern,South of Market,6.0,6.0,37.77579879760742,-122.41417694091795,POINT (-122.414176941 37.775798798),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,32.0,,1.0,1.0,1.0,,10.0,1.0,2025,2
149389411012,2025-07-01 19:46:00,2025/07/01,19:46,2025,Tuesday,2025/07/01 07:46:00 PM,1493894,250338607,251822775.0,IS,Initial Supplement,,11012,Stolen Property,Stolen Property,"Stolen Property, Possession with Knowledge, Receiving",Open or Active,MISSION ST \ RUTH ST,21746000.0,Ingleside,Outer Mission,11.0,11.0,37.723045349121094,-122.43604278564452,POINT (-122.436042786 37.723045349),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,80.0,,,,,,1.0,9.0,2025,2
149385964085,2025-07-01 17:10:00,2025/07/01,17:10,2025,Tuesday,2025/07/01 05:18:00 PM,1493859,250364624,251822334.0,II,Initial,,64085,Other Miscellaneous,Other,Investigative Detention,Open or Active,JACKSON ST \ WEBSTER ST,26650000.0,Northern,Pacific Heights,2.0,2.0,37.79267883300781,-122.43291473388672,POINT (-122.432914734 37.792678833),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,102.0,,,,,,6.0,4.0,2025,2
